Car_ID,Scheduled_Assembly_Date,Engine_Delivery_Date,Engine_Supplier_Region,Engine_Supplier_Reliability,Engine_Transport_Mode,Is_Critical_Engine,Transmission_Delivery_Date,Transmission_Supplier_Region,Transmission_Supplier_Reliability,Transmission_Transport_Mode,Is_Critical_Transmission,Brake_System_Delivery_Date,Brake_System_Supplier_Region,Brake_System_Supplier_Reliability,Brake_System_Transport_Mode,Is_Critical_Brake_System,Suspension_Delivery_Date,Suspension_Supplier_Region,Suspension_Supplier_Reliability,Suspension_Transport_Mode,Is_Critical_Suspension,Infotainment_Delivery_Date,Infotainment_Supplier_Region,Infotainment_Supplier_Reliability,Infotainment_Transport_Mode,Is_Critical_Infotainment,Car_Delayed,Delay_Days,Financial_Impact_USD,Engine_Delayed_Flag,Transmission_Delayed_Flag,Brake_System_Delayed_Flag,Suspension_Delayed_Flag,Infotainment_Delayed_Flag,Any_Critical_Part_Delayed,Engine_Delay_Reason,Transmission_Delay_Reason,Brake_System_Delay_Reason,Suspension_Delay_Reason,Infotainment_Delay_Reason,Order_Urgency,Holiday_Proximity,Inventory_Buffer_Used,Weather_Condition_On_Delivery,Strike_Notice,Production_Shift,Valid_Delay,Total_Parts_Delayed,Route_Type,Distance_KM,Traffic_Level,Supplier_Performance_Score,Contract_Penalty_Per_Day,Engine_Supplier_Group,Transmission_Supplier_Group,Brake_System_Supplier_Group,Suspension_Supplier_Group,Infotainment_Supplier_Group,Engine_Reliability_Score,Transmission_Reliability_Score,Brake_System_Reliability_Score,Suspension_Reliability_Score,Infotainment_Reliability_Score,Traffic_Severity_Index
CAR_283,2023-01-31,2023-02-03,East,0.88,Sea,0,2023-01-31,West,0.85,Sea,1,2023-01-26,East,0.74,Sea,1,2023-01-30,South,0.95,Air,1,2023-01-27,East,0.73,Sea,0,0,0,0.0,1,0,0,0,0,0,Weather,,,,,Medium,0,0,Storm,0,Morning,False,1,Urban,61.07867634354023,Low,0.84,100,East_Sea,West_Sea,East_Sea,South_Air,East_Sea,0.24358974358974358,0.2839506172839506,0.23076923076923078,0.2891566265060241,0.18947368421052632,1.0
CAR_705,2023-01-31,2023-01-30,East,0.73,,1,2023-01-28,North,0.97,Road,1,2023-01-30,North,0.88,Road,0,2023-02-01,South,0.8,Road,0,2023-01-26,East,0.89,Road,1,0,0,0.0,0,0,0,1,0,0,,,,Holiday,,Low,0,0,Snow,0,Night,False,1,Urban,15.23474159549282,Low,0.62,750,,North_Road,North_Road,South_Road,East_Road,,0.3291139240506329,0.32894736842105265,0.22448979591836735,0.2987012987012987,1.0
CAR_668,2023-01-31,2023-01-28,East,0.94,Air,1,2023-01-28,North,0.98,Air,0,2023-01-31,West,0.82,Air,0,2023-01-30,West,0.76,Sea,0,2023-01-24,East,0.87,Air,1,0,0,,0,0,0,0,0,0,,,,,,Low,1,0,Clear,0,Night,False,0,Urban,46.26821608886453,Low,0.6,100,East_Air,North_Air,West_Air,West_Sea,East_Air,0.23076923076923078,0.2638888888888889,0.28421052631578947,0.23529411764705882,0.2988505747126437,1.0
CAR_878,2023-02-01,2023-01-24,South,0.95,Air,1,2023-01-29,South,0.85,Sea,1,2023-01-29,South,0.81,Sea,1,2023-02-01,South,0.89,Road,1,2023-01-28,East,0.86,Air,0,0,0,0.0,0,0,0,0,0,0,,,,,,Medium,0,0,Storm,0,Evening,False,0,Rural,236.33760258256805,Low,0.69,250,South_Air,South_Sea,South_Sea,South_Road,East_Air,0.2702702702702703,0.3163265306122449,0.2826086956521739,0.22448979591836735,0.2988505747126437,1.0
CAR_39,2023-02-01,2023-01-31,East,0.99,Air,1,2023-02-03,East,0.82,Sea,0,2023-01-26,North,0.93,Air,0,2023-01-24,South,0.97,Road,0,2023-01-29,South,0.91,Air,1,0,0,0.0,0,1,0,0,0,0,,Weather,,,,Medium,0,0,Clear,0,Evening,False,1,Rural,454.53460586532543,Moderate,0.88,250,East_Air,East_Sea,North_Air,South_Road,South_Air,0.23076923076923078,0.3424657534246575,0.2602739726027397,0.22448979591836735,0.3375,1.2
CAR_981,2023-02-01,2023-02-01,East,0.8,Sea,0,2023-01-28,South,0.92,Road,1,2023-02-04,West,0.91,Air,0,2023-01-27,East,0.99,Road,1,2023-02-01,South,0.85,Road,1,0,0,0.0,0,0,1,0,0,0,,,Weather,,,Medium,0,0,Storm,1,Evening,False,1,Urban,78.89616090919988,Moderate,0.83,250,East_Sea,South_Road,West_Air,East_Road,South_Road,0.24358974358974358,0.3055555555555556,0.28421052631578947,0.2647058823529412,0.2875,1.2
CAR_150,2023-02-01,2023-02-01,West,0.9,Road,0,2023-02-10,North,0.79,Sea,0,2023-02-03,North,0.8,Sea,1,2023-01-30,East,0.79,Sea,1,2023-02-07,West,0.85,Road,1,1,6,3000.0,0,1,1,0,1,1,,Weather,Holiday,,Strike,Low,1,0,Clear,0,Morning,True,3,Urban,12.632255473110323,Moderate,0.25,100,West_Road,North_Sea,North_Sea,East_Sea,West_Road,0.23376623376623376,0.4375,0.27380952380952384,0.2391304347826087,0.35555555555555557,1.2
CAR_919,2023-02-01,2023-01-28,West,0.71,Air,0,2023-02-04,East,0.78,Air,1,2023-02-02,South,0.92,Sea,1,2023-01-28,South,0.78,Air,0,2023-01-29,East,0.9,Road,1,1,3,1500.0,0,1,1,0,0,1,,Strike,Strike,,,Medium,0,0,Rain,0,Morning,True,2,Mixed,146.34882888578412,High,0.29,750,West_Air,East_Air,South_Sea,South_Air,East_Road,0.34615384615384615,0.32857142857142857,0.2826086956521739,0.2891566265060241,0.2987012987012987,1.5
CAR_827,2023-02-01,2023-02-01,North,0.86,Sea,1,2023-01-27,East,0.97,Air,0,2023-01-27,East,0.84,Air,1,2023-02-01,West,0.85,Road,1,2023-01-28,North,0.71,Air,1,0,0,0.0,0,0,0,0,0,0,,,,,,Medium,0,0,Clear,0,Evening,False,0,Urban,21.528617172958,Moderate,0.68,750,North_Sea,East_Air,East_Air,West_Road,North_Air,0.2894736842105263,0.32857142857142857,0.3835616438356164,0.3563218390804598,0.325,1.2
CAR_826,2023-02-01,2023-02-01,West,0.84,Sea,1,2023-02-04,East,0.83,Sea,1,2023-01-30,West,0.85,Sea,0,2023-01-31,East,0.98,Road,1,2023-01-29,North,0.99,Road,0,1,3,1500.0,0,1,0,0,0,1,,Transport Breakdown,,,,High,0,0,Clear,0,Morning,True,1,Mixed,148.4717910997254,Moderate,0.52,100,West_Sea,East_Sea,West_Sea,East_Road,North_Road,0.21649484536082475,0.3424657534246575,0.35,0.2647058823529412,0.3103448275862069,1.2
CAR_268,2023-02-01,2023-01-31,North,0.89,Sea,0,2023-01-27,West,0.9,Sea,1,2023-02-03,South,0.82,Road,1,2023-01-31,West,0.79,Sea,0,2023-02-01,North,0.78,Road,1,1,2,1000.0,0,0,1,0,0,1,,,Supplier Issue,,,Medium,0,0,Clear,0,Evening,True,1,Mixed,197.999388990072,Moderate,0.62,1000,North_Sea,West_Sea,South_Road,West_Sea,North_Road,0.2894736842105263,0.2839506172839506,0.28888888888888886,0.23529411764705882,0.3103448275862069,1.2
CAR_65,2023-02-01,2023-02-01,West,0.96,Road,1,2023-01-24,West,0.76,Road,1,2023-02-01,West,0.91,Air,0,2023-02-01,East,0.77,Sea,1,2023-02-01,West,0.95,Road,1,0,0,0.0,0,0,0,0,0,0,,,,,,Low,0,0,Rain,0,Evening,False,0,Urban,98.89501507624284,Low,0.65,100,West_Road,West_Road,West_Air,East_Sea,West_Road,0.23376623376623376,0.21428571428571427,0.28421052631578947,0.2391304347826087,0.35555555555555557,1.0
CAR_758,2023-02-01,2023-01-27,,0.96,Air,1,2023-02-05,West,0.86,Air,0,2023-02-01,West,0.86,Sea,1,2023-02-01,North,0.88,Sea,1,2023-02-01,South,0.98,Road,1,0,0,0.0,0,1,0,0,0,0,,Supplier Issue,,,,Medium,0,0,Clear,0,Evening,False,1,Rural,316.60634527906825,Low,0.89,1000,,West_Air,West_Sea,North_Sea,South_Road,,0.2441860465116279,0.35,0.19696969696969696,0.2875,1.0
CAR_481,2023-02-01,2023-01-30,South,0.98,Air,0,2023-02-02,South,0.94,Road,0,2023-01-27,South,0.82,Sea,0,2023-01-30,South,0.74,Road,1,2023-02-07,West,0.79,Sea,1,1,6,3000.0,0,1,0,0,1,1,,Strike,,,Strike,Medium,0,0,Clear,0,Night,True,2,Rural,233.1404458060146,High,0.33,250,South_Air,South_Road,South_Sea,South_Road,West_Sea,0.2702702702702703,0.3055555555555556,0.2826086956521739,0.22448979591836735,0.4,1.5
CAR_953,2023-02-01,2023-01-31,West,0.76,Sea,1,2023-02-04,South,0.8,Road,1,2023-01-31,East,0.86,Air,1,2023-01-30,West,0.86,Sea,0,2023-01-27,North,0.97,Air,1,1,3,1500.0,0,1,0,0,0,1,,Holiday,,,,Low,0,0,Snow,0,Evening,True,1,Urban,85.58220570720555,Moderate,0.37,750,West_Sea,South_Road,East_Air,West_Sea,North_Air,0.21649484536082475,0.3055555555555556,0.3835616438356164,0.23529411764705882,0.325,1.2
CAR_719,2023-02-01,2023-02-01,North,0.81,Road,1,2023-01-31,North,0.79,Road,1,2023-01-30,East,0.74,Road,0,2023-02-03,East,0.82,Air,0,2023-01-31,East,0.9,Air,1,0,0,0.0,0,0,0,1,0,0,,,,Supplier Issue,,Low,1,0,Clear,0,Morning,False,1,Urban,83.25732425554169,High,0.73,100,North_Road,North_Road,East_Road,East_Air,East_Air,0.2926829268292683,0.3291139240506329,0.23333333333333334,0.25287356321839083,0.2988505747126437,1.5
CAR_383,2023-02-01,2023-01-28,NORTH ,0.73,Sea,1,2023-02-01,East,0.81,Road,1,2023-01-28,West,0.98,Sea,0,2023-01-20,West,0.81,Road,0,2023-02-01,South,0.83,Air,0,0,0,0.0,0,0,0,0,0,0,,,,,,Medium,1,1,Clear,0,Morning,False,0,Rural,209.41526678063929,Low,0.8,250,NORTH _Sea,East_Road,West_Sea,West_Road,South_Air,0.5,0.27906976744186046,0.35,0.3563218390804598,0.3375,1.0
CAR_864,2023-02-01,2023-01-29,West,0.92,Air,0,2023-02-04,South,0.91,Air,0,2023-01-24,North,0.93,Air,1,2023-01-28,East,0.98,Road,0,2023-02-01,West,0.83,Sea,0,0,0,0.0,0,1,0,0,0,0,,Holiday,,,,Medium,0,0,Clear,0,Evening,False,1,Rural,444.24605980392,Low,0.65,250,West_Air,South_Air,North_Air,East_Road,West_Sea,0.34615384615384615,0.3,0.2602739726027397,0.2647058823529412,0.4,1.0
CAR_79,2023-02-01,2023-01-27,West,0.71,Air,0,2023-01-25,,0.97,Air,1,2023-02-06,West,0.82,Road,1,2023-02-10,East,0.84,Air,1,2023-01-31,West,0.76,Air,1,1,9,4500.0,0,0,1,1,0,1,,,Strike,Strike,,Medium,0,1,Clear,0,Evening,False,2,Urban,99.20517635232788,High,0.0,100,West_Air,,West_Road,East_Air,West_Air,0.34615384615384615,,0.2717391304347826,0.25287356321839083,0.3409090909090909,1.5
CAR_176,2023-02-01,2023-01-19,North,0.84,Air,1,2023-01-27,South,0.92,Air,1,2023-02-05,West,0.96,Sea,1,2023-01-27,West,0.79,Sea,1,2023-01-30,South,0.8,Road,1,1,4,2000.0,0,0,1,0,0,1,,,Weather,,,Low,0,0,Clear,1,Night,True,1,Urban,94.3505638512806,Moderate,0.51,100,North_Air,South_Air,West_Sea,West_Sea,South_Road,0.38571428571428573,0.3,0.35,0.23529411764705882,0.2875,1.2
CAR_225,2023-02-01,2023-01-22,South,0.82,Air,0,2023-01-30,West,0.98,Sea,0,2023-02-01,South,0.79,Air,0,2023-01-28,East,0.88,Sea,0,2023-01-31,East,0.96,Road,0,0,0,0.0,0,0,0,0,0,0,,,,,,Low,0,0,Clear,0,Morning,False,0,Urban,68.65001428382965,Moderate,0.83,250,South_Air,West_Sea,South_Air,East_Sea,East_Road,0.2702702702702703,0.2839506172839506,0.16091954022988506,0.2391304347826087,0.2987012987012987,1.2
CAR_248,2023-02-01,2023-01-29,North,0.72,Road,1,2023-01-29,West,0.78,Sea,1,2023-02-03,West,0.74,Air,0,2023-02-04,East,0.84,Road,0,2023-01-27,East,0.8,Air,1,0,0,0.0,0,0,1,1,0,0,,,Transport Breakdown,Strike,,High,0,0,Clear,0,Night,False,2,Mixed,123.73918201121552,Moderate,0.79,250,North_Road,West_Sea,West_Air,East_Road,East_Air,0.2926829268292683,0.2839506172839506,0.28421052631578947,0.2647058823529412,0.2988505747126437,1.2
CAR_528,2023-02-02,2023-01-28,East,0.88,Road,1,2023-02-06,East,0.78,Air,0,2023-02-02,West,0.8,Air,1,2023-02-06,South,0.87,Air,0,2023-02-02,South,0.7,Sea,1,0,0,0.0,0,1,0,1,0,0,,Supplier Issue,,Customs,,Low,0,1,Rain,0,Morning,False,2,Urban,71.30060685684845,Low,0.61,1000,East_Road,East_Air,West_Air,South_Air,South_Sea,0.3026315789473684,0.32857142857142857,0.28421052631578947,0.2891566265060241,0.34523809523809523,1.0
CAR_946,2023-02-02,2023-01-31,North,0.89,Sea,1,2023-01-29,North,0.84,Sea,0,2023-01-29,South,0.71,Road,0,2023-02-04,West,0.89,Air,1,2023-02-01,North,0.73,Air,1,1,2,1000.0,0,0,0,1,0,1,,,,Customs,,Low,0,0,Clear,0,Morning,True,1,Urban,93.9801998209202,High,0.38,250,North_Sea,North_Sea,South_Road,West_Air,North_Air,0.2894736842105263,0.4375,0.28888888888888886,0.3218390804597701,0.325,1.5
CAR_119,2023-02-02,2023-02-02,West,0.72,Air,1,2023-01-20,North,0.97,Air,0,2023-01-28,South,0.9,Sea,1,2023-02-02,South,0.8,Road,1,2023-02-03,West,0.76,Air,1,1,1,500.0,0,0,0,0,1,1,,,,,Transport Breakdown,High,0,0,Clear,0,Evening,True,1,Mixed,105.9032775518471,Moderate,0.88,100,West_Air,North_Air,South_Sea,South_Road,West_Air,0.34615384615384615,0.2638888888888889,0.2826086956521739,0.22448979591836735,0.3409090909090909,1.2
CAR_896,2023-02-02,2023-02-02,North,0.83,Sea,0,2023-02-06,North,0.86,Air,1,2023-02-04,East,0.83,Air,1,2023-02-05,South,0.77,Air,1,2023-01-26,East,0.88,Sea,0,1,4,2000.0,0,1,1,1,0,1,,Weather,Supplier Issue,Weather,,Low,0,0,Storm,0,Morning,True,3,Urban,28.22325041487137,Moderate,0.28,100,North_Sea,North_Air,East_Air,South_Air,East_Sea,0.2894736842105263,0.2638888888888889,0.3835616438356164,0.2891566265060241,0.18947368421052632,1.2
CAR_284,2023-02-02,2023-02-02,West,0.8,Air,1,2023-02-02,South,0.89,Road,0,2023-02-02,West,0.95,Road,1,2023-02-04,West,0.82,Sea,0,2023-02-07,West,0.85,Sea,1,1,5,2500.0,0,0,0,1,1,1,,,,Weather,Weather,Low,0,0,Storm,0,Night,True,2,Urban,72.05184722235391,Low,0.24,100,West_Air,South_Road,West_Road,West_Sea,West_Sea,0.34615384615384615,0.3055555555555556,0.2717391304347826,0.23529411764705882,0.4,1.0
CAR_553,2023-02-02,2023-01-30,East,0.81,Air,1,2023-01-30,North,0.85,Air,1,2023-02-01,,0.92,Road,0,2023-02-02,East,0.93,Sea,1,2023-02-05,South,0.8,Air,1,1,3,1500.0,0,0,0,0,1,1,,,,,Weather,Medium,0,0,Clear,0,Night,True,1,Rural,423.1839303353517,Moderate,0.45,100,East_Air,North_Air,,East_Sea,South_Air,0.23076923076923078,0.2638888888888889,,0.2391304347826087,0.3375,1.2
CAR_886,2023-02-02,2023-02-03,North,0.83,Road,1,2023-02-11,South,0.85,Sea,0,2023-01-26,North,0.89,Road,1,2023-02-01,South,0.8,Road,1,2023-01-31,East,0.72,Sea,1,1,1,500.0,1,1,0,0,0,1,Holiday,Holiday,,,,Low,0,1,Snow,0,Evening,False,2,Urban,75.97641664267073,Low,0.53,500,North_Road,South_Sea,North_Road,South_Road,East_Sea,0.2926829268292683,0.3163265306122449,0.32894736842105265,0.22448979591836735,0.18947368421052632,1.0
CAR_291,2023-02-02,2023-01-29,East,0.87,Sea,0,2023-02-03,,0.74,Sea,1,2023-01-28,East,0.93,Road,1,2023-02-02,East,0.94,Air,0,2023-02-01,South,0.9,Air,1,1,1,500.0,0,1,0,0,0,1,,Strike,,,,Low,0,0,Clear,0,Morning,True,1,Urban,12.842753034307783,Moderate,0.54,500,East_Sea,,East_Road,East_Air,South_Air,0.24358974358974358,,0.23333333333333334,0.25287356321839083,0.3375,1.2
CAR_155,2023-02-02,2023-01-28,North,0.83,Road,0,2023-01-31,South,0.93,Road,1,2023-02-08,West,0.72,Road,1,2023-01-23,South,0.72,Sea,1,2023-01-24,South,0.81,Road,1,1,6,3000.0,0,0,1,0,0,1,,,Supplier Issue,,,High,0,0,Clear,0,Evening,True,1,Mixed,74.11398440724624,Moderate,0.21,1000,North_Road,South_Road,West_Road,South_Sea,South_Road,0.2926829268292683,0.3055555555555556,0.2717391304347826,0.21839080459770116,0.2875,1.2
CAR_561,2023-02-02,2023-01-28,West,0.81,Sea,1,2023-01-29,South,0.97,Air,0,2023-01-30,South,0.98,Sea,0,2023-02-02,West,0.79,Air,1,2023-02-03,West,0.77,Air,1,1,1,500.0,0,0,0,0,1,1,,,,,Holiday,Medium,0,0,Clear,0,Morning,True,1,Mixed,137.99126947632112,Moderate,0.5,100,West_Sea,South_Air,South_Sea,West_Air,West_Air,0.21649484536082475,0.3,0.2826086956521739,0.3218390804597701,0.3409090909090909,1.2
CAR_515,2023-02-02,2023-02-03,West,0.72,Sea,1,2023-02-02,,0.8,Air,1,2023-02-02,West,0.98,Road,0,2023-02-01,South,0.98,Sea,1,2023-02-09,South,0.96,Air,1,1,7,3500.0,1,0,0,0,1,1,Weather,,,,Supplier Issue,Low,0,0,Storm,0,Morning,True,2,Urban,53.72845832676931,Moderate,0.03,750,West_Sea,,West_Road,South_Sea,South_Air,0.21649484536082475,,0.2717391304347826,0.21839080459770116,0.3375,1.2
CAR_783,2023-02-02,2023-01-29,East,0.78,Road,0,2023-01-24,East,0.81,,1,2023-02-01,South,0.91,Air,1,2023-02-05,South,0.72,Air,0,2023-02-12,East,0.95,Sea,1,1,10,5000.0,0,0,0,1,1,1,,,,Holiday,Transport Breakdown,Low,0,1,Clear,0,Evening,False,2,Urban,56.0999728731407,High,0.0,500,East_Road,,South_Air,South_Air,East_Sea,0.3026315789473684,,0.16091954022988506,0.2891566265060241,0.18947368421052632,1.5
CAR_314,2023-02-02,2023-02-08,South,0.92,Sea,1,2023-02-04,North,0.8,Air,1,2023-01-31,South,0.72,Sea,0,2023-02-05,West,0.88,Road,0,2023-02-10,West,0.77,Air,1,1,8,4000.0,1,1,0,1,1,1,,Supplier Issue,,Holiday,Supplier Issue,High,0,0,Clear,0,Night,True,4,Mixed,82.88209810370665,High,0.18,250,South_Sea,North_Air,South_Sea,West_Road,West_Air,0.31645569620253167,0.2638888888888889,0.2826086956521739,0.3563218390804598,0.3409090909090909,1.5
CAR_32,2023-02-02,2023-02-06,West,0.78,Road,0,2023-02-02,East,0.72,Sea,1,2023-02-05,West,0.82,Sea,1,2023-02-02,West,0.94,Sea,0,2023-01-28,West,0.86,Road,1,1,3,1500.0,1,0,1,0,0,1,Holiday,,Weather,,,Low,0,0,Clear,0,Evening,True,2,Urban,81.16508483550672,Moderate,0.54,100,West_Road,East_Sea,West_Sea,West_Sea,West_Road,0.23376623376623376,0.3424657534246575,0.35,0.23529411764705882,0.35555555555555557,1.2
CAR_733,2023-02-02,2023-01-28,East,0.92,Sea,0,2023-02-03,East,0.99,Road,0,2023-01-22,North,0.79,Air,0,2023-01-31,West,0.94,Sea,1,2023-02-06,South,0.88,Sea,0,0,0,0.0,0,1,0,0,1,0,,Customs,,,Weather,Medium,0,0,Clear,0,Evening,False,2,Rural,419.25671277446895,Low,0.62,250,East_Sea,East_Road,North_Air,West_Sea,South_Sea,0.24358974358974358,0.27906976744186046,0.2602739726027397,0.23529411764705882,0.34523809523809523,1.0
CAR_249,2023-02-02,2023-02-10,WEST ,0.75,Road,1,2023-01-31,West,0.71,Sea,0,2023-01-30,South,0.78,Air,0,2023-02-02,North,0.88,Sea,1,2023-02-02,North,0.93,Sea,0,1,8,4000.0,1,0,0,0,0,1,Transport Breakdown,,,,,High,1,0,Storm,0,Evening,True,1,Mixed,59.63134056127012,Low,0.0,250,WEST _Road,West_Sea,South_Air,North_Sea,North_Sea,0.25,0.2839506172839506,0.16091954022988506,0.19696969696969696,0.3246753246753247,1.0
CAR_213,2023-02-02,2023-01-26,West,0.92,Road,1,2023-02-02,East,0.76,Sea,0,2023-02-07,South,0.86,Air,1,2023-01-27,East,0.73,Sea,0,2023-02-04,East,0.76,Sea,0,1,5,,0,0,1,0,1,1,,,Supplier Issue,,Strike,Medium,0,0,Clear,0,Morning,True,2,Rural,301.31718036491066,High,0.17,250,West_Road,East_Sea,South_Air,East_Sea,East_Sea,0.23376623376623376,0.3424657534246575,0.16091954022988506,0.2391304347826087,0.18947368421052632,1.5
