Engine_Supplier_Region,Engine_Transport_Mode,Is_Critical_Engine,Transmission_Supplier_Region,Transmission_Transport_Mode,Is_Critical_Transmission,Brake_System_Supplier_Region,Brake_System_Transport_Mode,Is_Critical_Brake_System,Suspension_Supplier_Region,Suspension_Transport_Mode,Is_Critical_Suspension,Infotainment_Supplier_Region,Infotainment_Transport_Mode,Is_Critical_Infotainment,Car_Delayed,Engine_Delayed_Flag,Transmission_Delayed_Flag,Brake_System_Delayed_Flag,Suspension_Delayed_Flag,Infotainment_Delayed_Flag,Any_Critical_Part_Delayed,Order_Urgency,Holiday_Proximity,Weather_Condition_On_Delivery,Strike_Notice,Production_Shift,Total_Parts_Delayed,Route_Type,Distance_KM,Traffic_Level,Supplier_Performance_Score,Contract_Penalty_Per_Day,Engine_Supplier_Group,Transmission_Supplier_Group,Brake_System_Supplier_Group,Suspension_Supplier_Group,Infotainment_Supplier_Group,Engine_Reliability_Score,Transmission_Reliability_Score,Brake_System_Reliability_Score,Suspension_Reliability_Score,Infotainment_Reliability_Score,Traffic_Severity_Index,Month_Scheduled,Quarter_Scheduled,Sum_Critical_Parts_Delayed
EAST,SEA,0,WEST,SEA,1,EAST,SEA,1,SOUTH,AIR,1,EAST,SEA,0,0,1,1,0,1,0,1,MEDIUM,0,STORM,0,MORNING,3,URBAN,61.07867634354023,LOW,0.84,100,EAST_SEA,WEST_SEA,EAST_SEA,SOUTH_AIR,EAST_SEA,0.2435897435897435,0.2839506172839506,0.2602739726027397,0.2891566265060241,0.2988505747126437,1.0,1,1,2
EAST,SEA,1,NORTH,ROAD,1,NORTH,ROAD,0,SOUTH,ROAD,0,EAST,ROAD,1,0,1,0,1,1,0,1,LOW,0,SNOW,0,NIGHT,3,URBAN,15.23474159549282,LOW,0.62,750,WEST_SEA,NORTH_ROAD,NORTH_ROAD,SOUTH_ROAD,EAST_ROAD,0.2926829268292683,0.3291139240506329,0.3289473684210526,0.2244897959183673,0.2988505747126437,1.0,1,1,1
EAST,AIR,1,NORTH,AIR,0,WEST,AIR,0,WEST,SEA,0,EAST,AIR,1,0,0,0,1,1,0,0,LOW,1,CLEAR,0,NIGHT,2,URBAN,46.26821608886453,LOW,0.6,100,EAST_AIR,NORTH_AIR,WEST_AIR,WEST_SEA,EAST_AIR,0.2435897435897435,0.2790697674418604,0.2842105263157894,0.2352941176470588,0.2988505747126437,1.0,1,1,0
SOUTH,AIR,1,SOUTH,SEA,1,SOUTH,SEA,1,SOUTH,ROAD,1,EAST,AIR,0,0,0,0,0,1,0,1,MEDIUM,0,STORM,0,EVENING,1,RURAL,236.33760258256805,LOW,0.69,250,SOUTH_AIR,SOUTH_SEA,SOUTH_SEA,SOUTH_ROAD,EAST_AIR,0.2702702702702703,0.3163265306122449,0.2826086956521739,0.2244897959183673,0.2988505747126437,1.0,2,1,1
EAST,AIR,1,EAST,SEA,0,NORTH,AIR,0,SOUTH,ROAD,0,SOUTH,AIR,1,0,1,1,0,0,0,1,MEDIUM,0,CLEAR,0,EVENING,2,RURAL,454.53460586532543,MODERATE,0.88,250,EAST_AIR,EAST_SEA,NORTH_AIR,SOUTH_ROAD,SOUTH_AIR,0.2435897435897435,0.3424657534246575,0.2602739726027397,0.2244897959183673,0.3375,1.2,2,1,1
EAST,SEA,0,SOUTH,ROAD,1,WEST,AIR,0,EAST,ROAD,1,SOUTH,ROAD,1,0,1,0,1,0,1,1,MEDIUM,0,STORM,1,EVENING,3,URBAN,78.89616090919988,MODERATE,0.83,250,EAST_SEA,SOUTH_ROAD,WEST_AIR,EAST_ROAD,SOUTH_ROAD,0.2435897435897435,0.3055555555555556,0.2842105263157894,0.2647058823529412,0.2988505747126437,1.2,2,1,1
WEST,ROAD,0,NORTH,SEA,0,NORTH,SEA,1,EAST,SEA,1,WEST,ROAD,1,1,1,1,1,0,1,1,LOW,1,CLEAR,0,MORNING,4,URBAN,12.632255473110323,MODERATE,0.25,100,WEST_ROAD,NORTH_SEA,NORTH_SEA,EAST_SEA,WEST_ROAD,0.2435897435897435,0.4375,0.2738095238095238,0.2391304347826087,0.3555555555555555,1.2,2,1,2
WEST,AIR,0,EAST,AIR,1,SOUTH,SEA,1,SOUTH,AIR,0,EAST,ROAD,1,1,0,1,1,0,0,1,MEDIUM,0,RAIN,0,MORNING,2,MIXED,146.34882888578412,HIGH,0.29,750,WEST_AIR,EAST_AIR,SOUTH_SEA,SOUTH_AIR,EAST_ROAD,0.3461538461538461,0.3285714285714285,0.2826086956521739,0.2891566265060241,0.2988505747126437,1.5,2,1,2
NORTH,SEA,1,EAST,AIR,0,EAST,AIR,1,WEST,ROAD,1,NORTH,AIR,1,0,1,0,0,1,0,1,MEDIUM,0,CLEAR,0,EVENING,2,URBAN,21.528617172958,MODERATE,0.68,750,NORTH_SEA,EAST_AIR,EAST_AIR,WEST_ROAD,NORTH_AIR,0.2894736842105263,0.3285714285714285,0.3835616438356164,0.3563218390804598,0.325,1.2,2,1,2
WEST,SEA,1,EAST,SEA,1,WEST,SEA,0,EAST,ROAD,1,NORTH,ROAD,0,1,1,1,0,1,0,1,HIGH,0,CLEAR,0,MORNING,3,MIXED,148.4717910997254,MODERATE,0.52,100,WEST_SEA,EAST_SEA,WEST_SEA,EAST_ROAD,NORTH_ROAD,0.2435897435897435,0.3424657534246575,0.35,0.2647058823529412,0.3103448275862069,1.2,2,1,3
NORTH,SEA,0,WEST,SEA,1,SOUTH,ROAD,1,WEST,SEA,0,NORTH,ROAD,1,1,1,0,1,1,1,1,MEDIUM,0,CLEAR,0,EVENING,4,MIXED,197.999388990072,MODERATE,0.62,1000,NORTH_SEA,WEST_SEA,SOUTH_ROAD,WEST_SEA,NORTH_ROAD,0.2894736842105263,0.2839506172839506,0.2888888888888888,0.2352941176470588,0.3103448275862069,1.2,2,1,2
WEST,ROAD,1,WEST,ROAD,1,WEST,AIR,0,EAST,SEA,1,WEST,ROAD,1,0,1,0,1,1,1,1,LOW,0,RAIN,0,EVENING,4,URBAN,98.89501507624284,LOW,0.65,100,WEST_ROAD,WEST_ROAD,WEST_AIR,EAST_SEA,WEST_ROAD,0.2435897435897435,0.2790697674418604,0.2842105263157894,0.2391304347826087,0.3555555555555555,1.0,2,1,3
WEST,AIR,1,WEST,AIR,0,WEST,SEA,1,NORTH,SEA,1,SOUTH,ROAD,1,0,0,1,1,1,1,1,MEDIUM,0,CLEAR,0,EVENING,4,RURAL,316.60634527906825,LOW,0.89,1000,WEST_SEA,WEST_AIR,WEST_SEA,NORTH_SEA,SOUTH_ROAD,0.2926829268292683,0.2790697674418604,0.35,0.1969696969696969,0.2988505747126437,1.0,2,1,3
SOUTH,AIR,0,SOUTH,ROAD,0,SOUTH,SEA,0,SOUTH,ROAD,1,WEST,SEA,1,1,0,1,0,0,1,1,MEDIUM,0,CLEAR,0,NIGHT,2,RURAL,233.1404458060146,HIGH,0.33,250,SOUTH_AIR,SOUTH_ROAD,SOUTH_SEA,SOUTH_ROAD,WEST_SEA,0.2702702702702703,0.3055555555555556,0.2826086956521739,0.2244897959183673,0.4,1.5,2,1,1
WEST,SEA,1,SOUTH,ROAD,1,EAST,AIR,1,WEST,SEA,0,NORTH,AIR,1,1,1,1,1,0,0,1,LOW,0,SNOW,0,EVENING,3,URBAN,85.58220570720555,MODERATE,0.37,750,WEST_SEA,SOUTH_ROAD,EAST_AIR,WEST_SEA,NORTH_AIR,0.2435897435897435,0.3055555555555556,0.3835616438356164,0.2352941176470588,0.325,1.2,2,1,3
NORTH,ROAD,1,NORTH,ROAD,1,EAST,ROAD,0,EAST,AIR,0,EAST,AIR,1,0,1,1,0,1,1,1,LOW,1,CLEAR,0,MORNING,4,URBAN,83.25732425554169,HIGH,0.73,100,NORTH_ROAD,NORTH_ROAD,EAST_ROAD,EAST_AIR,EAST_AIR,0.2926829268292683,0.3291139240506329,0.2602739726027397,0.2528735632183908,0.2988505747126437,1.5,2,1,3
NORTH,SEA,1,EAST,ROAD,1,WEST,SEA,0,WEST,ROAD,0,SOUTH,AIR,0,0,0,1,0,0,1,1,MEDIUM,1,CLEAR,0,MORNING,2,RURAL,209.41526678063929,LOW,0.8,250,NORTH _SEA,EAST_ROAD,WEST_SEA,WEST_ROAD,SOUTH_AIR,0.3857142857142857,0.2790697674418604,0.35,0.3563218390804598,0.3375,1.0,2,1,1
WEST,AIR,0,SOUTH,AIR,0,NORTH,AIR,1,EAST,ROAD,0,WEST,SEA,0,0,0,1,0,0,1,0,MEDIUM,0,CLEAR,0,EVENING,2,RURAL,444.24605980392,LOW,0.65,250,WEST_AIR,SOUTH_AIR,NORTH_AIR,EAST_ROAD,WEST_SEA,0.3461538461538461,0.3,0.2602739726027397,0.2647058823529412,0.4,1.0,2,1,0
WEST,AIR,0,SOUTH,AIR,1,WEST,ROAD,1,EAST,AIR,1,WEST,AIR,1,1,0,0,1,1,1,1,MEDIUM,0,CLEAR,0,EVENING,3,URBAN,99.20517635232788,HIGH,0.0,100,WEST_AIR,SOUTH_SEA,WEST_ROAD,EAST_AIR,WEST_AIR,0.3461538461538461,0.3,0.2717391304347826,0.2528735632183908,0.3409090909090909,1.5,2,1,3
NORTH,AIR,1,SOUTH,AIR,1,WEST,SEA,1,WEST,SEA,1,SOUTH,ROAD,1,1,0,0,1,0,0,1,LOW,0,CLEAR,1,NIGHT,1,URBAN,94.3505638512806,MODERATE,0.51,100,NORTH_AIR,SOUTH_AIR,WEST_SEA,WEST_SEA,SOUTH_ROAD,0.3857142857142857,0.3,0.35,0.2352941176470588,0.2988505747126437,1.2,2,1,1
SOUTH,AIR,0,WEST,SEA,0,SOUTH,AIR,0,EAST,SEA,0,EAST,ROAD,0,0,0,0,1,0,1,0,LOW,0,CLEAR,0,MORNING,2,URBAN,68.65001428382965,MODERATE,0.83,250,SOUTH_AIR,WEST_SEA,SOUTH_AIR,EAST_SEA,EAST_ROAD,0.2702702702702703,0.2839506172839506,0.2602739726027397,0.2391304347826087,0.2988505747126437,1.2,2,1,0
NORTH,ROAD,1,WEST,SEA,1,WEST,AIR,0,EAST,ROAD,0,EAST,AIR,1,0,0,0,1,1,0,0,HIGH,0,CLEAR,0,NIGHT,2,MIXED,123.73918201121552,MODERATE,0.79,250,NORTH_ROAD,WEST_SEA,WEST_AIR,EAST_ROAD,EAST_AIR,0.2926829268292683,0.2839506172839506,0.2842105263157894,0.2647058823529412,0.2988505747126437,1.2,2,1,0
EAST,ROAD,1,EAST,AIR,0,WEST,AIR,1,SOUTH,AIR,0,SOUTH,SEA,1,0,0,1,1,1,1,1,LOW,0,RAIN,0,MORNING,4,URBAN,71.30060685684845,LOW,0.61,1000,EAST_ROAD,EAST_AIR,WEST_AIR,SOUTH_AIR,SOUTH_SEA,0.3026315789473684,0.3285714285714285,0.2842105263157894,0.2891566265060241,0.3452380952380952,1.0,2,1,2
NORTH,SEA,1,NORTH,SEA,0,SOUTH,ROAD,0,WEST,AIR,1,NORTH,AIR,1,1,0,0,0,1,1,1,LOW,0,CLEAR,0,MORNING,2,URBAN,93.9801998209202,HIGH,0.38,250,NORTH_SEA,NORTH_SEA,SOUTH_ROAD,WEST_AIR,NORTH_AIR,0.2894736842105263,0.4375,0.2888888888888888,0.3218390804597701,0.325,1.5,2,1,2
WEST,AIR,1,NORTH,AIR,0,SOUTH,SEA,1,SOUTH,ROAD,1,WEST,AIR,1,1,1,0,0,1,1,1,HIGH,0,CLEAR,0,EVENING,3,MIXED,105.9032775518471,MODERATE,0.88,100,WEST_AIR,NORTH_AIR,SOUTH_SEA,SOUTH_ROAD,WEST_AIR,0.3461538461538461,0.2790697674418604,0.2826086956521739,0.2244897959183673,0.3409090909090909,1.2,2,1,3
NORTH,SEA,0,NORTH,AIR,1,EAST,AIR,1,SOUTH,AIR,1,EAST,SEA,0,1,1,1,1,1,0,1,LOW,0,STORM,0,MORNING,4,URBAN,28.22325041487137,MODERATE,0.28,100,NORTH_SEA,NORTH_AIR,EAST_AIR,SOUTH_AIR,EAST_SEA,0.2894736842105263,0.2790697674418604,0.3835616438356164,0.2891566265060241,0.2988505747126437,1.2,2,1,3
WEST,AIR,1,SOUTH,ROAD,0,WEST,ROAD,1,WEST,SEA,0,WEST,SEA,1,1,1,1,1,1,1,1,LOW,0,STORM,0,NIGHT,5,URBAN,72.05184722235391,LOW,0.24,100,WEST_AIR,SOUTH_ROAD,WEST_ROAD,WEST_SEA,WEST_SEA,0.3461538461538461,0.3055555555555556,0.2717391304347826,0.2352941176470588,0.4,1.0,2,1,3
EAST,AIR,1,NORTH,AIR,1,SOUTH,ROAD,0,EAST,SEA,1,SOUTH,AIR,1,1,0,0,1,1,1,1,MEDIUM,0,CLEAR,0,NIGHT,3,RURAL,423.1839303353517,MODERATE,0.45,100,EAST_AIR,NORTH_AIR,WEST_AIR,EAST_SEA,SOUTH_AIR,0.2435897435897435,0.2790697674418604,0.2826086956521739,0.2391304347826087,0.3375,1.2,2,1,2
NORTH,ROAD,1,SOUTH,SEA,0,NORTH,ROAD,1,SOUTH,ROAD,1,EAST,SEA,1,1,1,1,0,1,0,1,LOW,0,SNOW,0,EVENING,3,URBAN,75.97641664267073,LOW,0.53,500,NORTH_ROAD,SOUTH_SEA,NORTH_ROAD,SOUTH_ROAD,EAST_SEA,0.2926829268292683,0.3163265306122449,0.3289473684210526,0.2244897959183673,0.2988505747126437,1.0,2,1,2
EAST,SEA,0,SOUTH,SEA,1,EAST,ROAD,1,EAST,AIR,0,SOUTH,AIR,1,1,0,1,0,1,1,1,LOW,0,CLEAR,0,MORNING,3,URBAN,12.842753034307783,MODERATE,0.54,500,EAST_SEA,SOUTH_SEA,EAST_ROAD,EAST_AIR,SOUTH_AIR,0.2435897435897435,0.3,0.2602739726027397,0.2528735632183908,0.3375,1.2,2,1,2
NORTH,ROAD,0,SOUTH,ROAD,1,WEST,ROAD,1,SOUTH,SEA,1,SOUTH,ROAD,1,1,0,0,1,0,0,1,HIGH,0,CLEAR,0,EVENING,1,MIXED,74.11398440724624,MODERATE,0.21,1000,NORTH_ROAD,SOUTH_ROAD,WEST_ROAD,SOUTH_SEA,SOUTH_ROAD,0.2926829268292683,0.3055555555555556,0.2717391304347826,0.2183908045977011,0.2988505747126437,1.2,2,1,1
WEST,SEA,1,SOUTH,AIR,0,SOUTH,SEA,0,WEST,AIR,1,WEST,AIR,1,1,0,0,0,1,1,1,MEDIUM,0,CLEAR,0,MORNING,2,MIXED,137.99126947632112,MODERATE,0.5,100,WEST_SEA,SOUTH_AIR,SOUTH_SEA,WEST_AIR,WEST_AIR,0.2435897435897435,0.3,0.2826086956521739,0.3218390804597701,0.3409090909090909,1.2,2,1,2
WEST,SEA,1,SOUTH,AIR,1,WEST,ROAD,0,SOUTH,SEA,1,SOUTH,AIR,1,1,1,1,1,1,1,1,LOW,0,STORM,0,MORNING,5,URBAN,53.72845832676931,MODERATE,0.03,750,WEST_SEA,SOUTH_SEA,WEST_ROAD,SOUTH_SEA,SOUTH_AIR,0.2435897435897435,0.3,0.2717391304347826,0.2183908045977011,0.3375,1.2,2,1,4
EAST,ROAD,0,EAST,AIR,1,SOUTH,AIR,1,SOUTH,AIR,0,EAST,SEA,1,1,0,0,1,1,1,1,LOW,0,CLEAR,0,EVENING,3,URBAN,56.0999728731407,HIGH,0.0,500,EAST_ROAD,SOUTH_SEA,SOUTH_AIR,SOUTH_AIR,EAST_SEA,0.3026315789473684,0.3,0.2602739726027397,0.2891566265060241,0.2988505747126437,1.5,2,1,2
SOUTH,SEA,1,NORTH,AIR,1,SOUTH,SEA,0,WEST,ROAD,0,WEST,AIR,1,1,1,1,0,1,1,1,HIGH,0,CLEAR,0,NIGHT,4,MIXED,82.88209810370665,HIGH,0.18,250,SOUTH_SEA,NORTH_AIR,SOUTH_SEA,WEST_ROAD,WEST_AIR,0.3164556962025316,0.2790697674418604,0.2826086956521739,0.3563218390804598,0.3409090909090909,1.5,2,1,3
WEST,ROAD,0,EAST,SEA,1,WEST,SEA,1,WEST,SEA,0,WEST,ROAD,1,1,1,1,1,1,0,1,LOW,0,CLEAR,0,EVENING,4,URBAN,81.16508483550672,MODERATE,0.54,100,WEST_ROAD,EAST_SEA,WEST_SEA,WEST_SEA,WEST_ROAD,0.2435897435897435,0.3424657534246575,0.35,0.2352941176470588,0.3555555555555555,1.2,2,1,2
EAST,SEA,0,EAST,ROAD,0,NORTH,AIR,0,WEST,SEA,1,SOUTH,SEA,0,0,0,1,0,0,1,0,MEDIUM,0,CLEAR,0,EVENING,2,RURAL,419.25671277446895,LOW,0.62,250,EAST_SEA,EAST_ROAD,NORTH_AIR,WEST_SEA,SOUTH_SEA,0.2435897435897435,0.2790697674418604,0.2602739726027397,0.2352941176470588,0.3452380952380952,1.0,2,1,0
WEST,ROAD,1,WEST,SEA,0,SOUTH,AIR,0,NORTH,SEA,1,NORTH,SEA,0,1,1,0,0,1,1,1,HIGH,1,STORM,0,EVENING,3,MIXED,59.63134056127012,LOW,0.0,250,WEST _ROAD,WEST_SEA,SOUTH_AIR,NORTH_SEA,NORTH_SEA,0.25,0.2839506172839506,0.2602739726027397,0.1969696969696969,0.3246753246753247,1.0,2,1,2
WEST,ROAD,1,EAST,SEA,0,SOUTH,AIR,1,EAST,SEA,0,EAST,SEA,0,1,0,1,1,0,1,1,MEDIUM,0,CLEAR,0,MORNING,3,RURAL,301.31718036491066,HIGH,0.17,250,WEST_ROAD,EAST_SEA,SOUTH_AIR,EAST_SEA,EAST_SEA,0.2435897435897435,0.3424657534246575,0.2602739726027397,0.2391304347826087,0.2988505747126437,1.5,2,1,1
SOUTH,SEA,0,SOUTH,AIR,0,WEST,ROAD,1,SOUTH,SEA,0,NORTH,AIR,0,1,1,1,1,1,1,1,HIGH,1,CLEAR,0,MORNING,5,MIXED,195.22901418720824,MODERATE,0.51,750,SOUTH_SEA,SOUTH_AIR,WEST_ROAD,SOUTH_SEA,NORTH_AIR,0.3164556962025316,0.3,0.2717391304347826,0.2183908045977011,0.325,1.2,2,1,1
SOUTH,ROAD,1,WEST,SEA,1,NORTH,SEA,1,EAST,AIR,1,NORTH,ROAD,1,0,0,0,1,1,0,1,MEDIUM,0,CLEAR,0,MORNING,2,MIXED,143.57889870148597,LOW,0.7,250,SOUTH_ROAD,WEST_SEA,NORTH_SEA,EAST_AIR,NORTH_ROAD,0.3214285714285714,0.2839506172839506,0.2738095238095238,0.2528735632183908,0.3103448275862069,1.0,2,1,2
NORTH,ROAD,0,EAST,AIR,0,NORTH,AIR,1,WEST,AIR,0,WEST,SEA,1,1,1,1,1,1,1,1,HIGH,0,CLEAR,0,EVENING,5,MIXED,52.734887401454245,MODERATE,0.34,250,NORTH_ROAD,EAST_AIR,NORTH_AIR,WEST_AIR,WEST_SEA,0.2926829268292683,0.3285714285714285,0.2602739726027397,0.3218390804597701,0.4,1.2,2,1,2
SOUTH,SEA,0,WEST,ROAD,0,EAST,SEA,1,WEST,AIR,0,EAST,AIR,1,1,1,1,1,0,0,1,LOW,0,RAIN,0,MORNING,3,URBAN,10.68065874803279,LOW,0.41,500,SOUTH_SEA,WEST_ROAD,EAST_SEA,WEST_AIR,EAST_AIR,0.3164556962025316,0.2790697674418604,0.2602739726027397,0.3218390804597701,0.2988505747126437,1.0,2,1,1
EAST,AIR,0,SOUTH,AIR,1,NORTH,ROAD,1,NORTH,AIR,0,NORTH,SEA,0,0,1,0,1,1,1,1,MEDIUM,0,CLEAR,0,EVENING,4,RURAL,228.61546414534817,LOW,0.91,250,EAST_AIR,SOUTH_AIR,NORTH_ROAD,NORTH_AIR,NORTH_SEA,0.2435897435897435,0.3,0.3289473684210526,0.3116883116883117,0.3246753246753247,1.0,2,1,1
NORTH,AIR,1,WEST,SEA,0,NORTH,ROAD,0,WEST,AIR,0,EAST,ROAD,0,0,0,1,1,1,0,0,MEDIUM,0,CLEAR,0,MORNING,3,RURAL,331.6786247976763,LOW,0.63,100,NORTH_AIR,WEST_SEA,NORTH_ROAD,WEST_AIR,EAST_ROAD,0.3857142857142857,0.2839506172839506,0.3289473684210526,0.3218390804597701,0.2988505747126437,1.0,2,1,0
EAST,ROAD,0,NORTH,AIR,1,EAST,SEA,0,SOUTH,ROAD,1,EAST,AIR,0,1,1,1,1,1,1,1,HIGH,0,CLEAR,0,NIGHT,5,MIXED,90.0542405254132,MODERATE,0.84,500,EAST_ROAD,NORTH_AIR,EAST_SEA,SOUTH_ROAD,EAST_AIR,0.3026315789473684,0.2790697674418604,0.2602739726027397,0.2244897959183673,0.2988505747126437,1.2,2,1,2
EAST,SEA,1,NORTH,ROAD,1,EAST,AIR,0,EAST,SEA,1,EAST,AIR,1,1,0,0,1,0,1,1,HIGH,0,CLEAR,0,MORNING,2,MIXED,154.25528432878298,MODERATE,0.12,250,EAST_SEA,NORTH_ROAD,EAST_AIR,EAST_SEA,EAST_AIR,0.2435897435897435,0.3291139240506329,0.3835616438356164,0.2391304347826087,0.2988505747126437,1.2,2,1,1
NORTH,AIR,1,EAST,SEA,0,SOUTH,SEA,1,SOUTH,ROAD,0,SOUTH,SEA,0,0,0,0,1,0,0,1,LOW,0,CLEAR,0,MORNING,1,URBAN,49.93751973741141,LOW,1.68,500,NORTH_AIR,EAST_SEA,SOUTH_SEA,SOUTH_ROAD,SOUTH_SEA,0.3857142857142857,0.3424657534246575,0.2826086956521739,0.2244897959183673,0.3452380952380952,1.0,2,1,1
NORTH,AIR,1,NORTH,SEA,0,NORTH,AIR,1,SOUTH,SEA,0,WEST,ROAD,1,1,1,1,1,1,0,1,MEDIUM,0,CLEAR,0,NIGHT,4,RURAL,257.7754795569168,MODERATE,0.37,100,NORTH_AIR,NORTH_SEA,NORTH_AIR,SOUTH_SEA,WEST_ROAD,0.3857142857142857,0.4375,0.2602739726027397,0.2183908045977011,0.3555555555555555,1.2,2,1,2
EAST,ROAD,0,NORTH,AIR,1,EAST,SEA,0,SOUTH,ROAD,0,SOUTH,ROAD,1,0,1,1,1,0,1,1,MEDIUM,0,CLEAR,0,MORNING,4,MIXED,113.91250758355572,LOW,0.62,500,EAST_ROAD,NORTH_AIR,EAST_SEA,SOUTH_ROAD,SOUTH_ROAD,0.3026315789473684,0.2790697674418604,0.2602739726027397,0.2244897959183673,0.2988505747126437,1.0,2,1,2
